zone_id,name,n_years,slope,tau,s,var_s,z,p,p_adjusted,significant,status
LK1118105,Ganegoda,12,-0.2287564713505505,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1118110,Angampitiya,12,-0.30976579662622916,-0.48484848484848486,-32.0,212.66666666666666,-2.125748992103599,0.03352416523500468,0.297547435240223,False,ok
LK1118115,Weragala,12,-0.2952210731023146,-0.45454545454545453,-30.0,212.66666666666666,-1.9886038958388508,0.046744941053711075,0.297547435240223,False,ok
LK1118120,Angamuwa,12,-0.20415715449974275,-0.36363636363636365,-24.0,212.66666666666666,-1.5771686070446058,0.11475673431864908,0.3716250059039973,False,ok
LK1118125,Udumulla,12,-0.15523443096467185,-0.5151515151515151,-34.0,212.66666666666666,-2.2628940883683475,0.023642218909198487,0.297547435240223,False,ok
LK1118130,Poregedara,12,-0.1752678122725109,-0.36363636363636365,-24.0,212.66666666666666,-1.5771686070446058,0.11475673431864908,0.3716250059039973,False,ok
LK1118135,Pahala Padukka,12,-0.21549500757294382,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1118140,Liyanwala,12,-0.2713950574981472,-0.6060606060606061,-40.0,212.66666666666666,-2.6743293771625924,0.007487886815149114,0.297547435240223,False,ok
LK1118145,Kurugala,12,-0.19806567472761777,-0.30303030303030304,-20.0,212.66666666666666,-1.302878414515109,0.19261627432960227,0.41746017432524696,False,ok
LK1118150,Madulawa South,12,-0.23092989365582567,-0.5757575757575758,-38.0,212.66666666666666,-2.537184280897844,0.011174811327380407,0.297547435240223,False,ok
LK1118155,Madulawa North,12,-0.1422248068549113,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1118160,Horakandawala,12,-0.16973334380733246,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1118165,Dampe,12,-0.18073488175790747,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1118170,Beruketiya,12,-0.18669443738258212,-0.3939393939393939,-26.0,212.66666666666666,-1.714313703309354,0.08647112777407262,0.33447512618165587,False,ok
LK1118175,Horagala West,12,-0.1534636528725793,-0.2727272727272727,-18.0,212.66666666666666,-1.1657333182503609,0.24372228477217428,0.4421932007104269,False,ok
LK1118180,Horagala East,12,-0.17868100755675242,-0.48484848484848486,-32.0,212.66666666666666,-2.125748992103599,0.03352416523500468,0.297547435240223,False,ok
LK1118185,Beliattavila,12,-0.16472751442949818,-0.36363636363636365,-24.0,212.66666666666666,-1.5771686070446058,0.11475673431864908,0.3716250059039973,False,ok
LK1118190,Miriyagalla,12,-0.22563396733083826,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1118195,Malagala,12,-0.25792639482210866,-0.5454545454545454,-36.0,212.66666666666666,-2.400039184633096,0.016393316888809073,0.297547435240223,False,ok
LK1118200,Kahawala,12,-0.16721960584297946,-0.5757575757575758,-38.0,212.66666666666666,-2.537184280897844,0.011174811327380407,0.297547435240223,False,ok
LK1118205,Yatawathura,12,-0.15755050639057444,-0.2727272727272727,-18.0,212.66666666666666,-1.1657333182503609,0.24372228477217428,0.4421932007104269,False,ok
LK1118210,Mahingala,12,-0.18085607915047694,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1118215,Ihala Bope,12,-0.23865598284346784,-0.5454545454545454,-36.0,212.66666666666666,-2.400039184633096,0.016393316888809073,0.297547435240223,False,ok
LK1118220,Gurulana,12,-0.20760009998774143,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1118225,Udagama,12,-0.20913249848409307,-0.696969696969697,-46.0,212.66666666666666,-3.0857646659568374,0.0020302944356094255,0.297547435240223,False,ok
LK1118230,Dambora,12,-0.29363328460888205,-0.5757575757575758,-38.0,212.66666666666666,-2.537184280897844,0.011174811327380407,0.297547435240223,False,ok
LK1121005,Mirihana South,12,-0.07061475763340702,-0.2727272727272727,-18.0,212.66666666666666,-1.1657333182503609,0.24372228477217428,0.4421932007104269,False,ok
LK1121010,Mirihana North,12,-0.0019592160532260943,0.0,0.0,212.66666666666666,0.0,1.0,1.0,False,ok
