year,source,rural_definition,urban_mean,rural_mean,suhii,urban_pixels,rural_pixels
2013,aqua_day,lcz_based,34.62409663844753,33.017500138434166,1.6065965000133673,370,139
2014,aqua_day,lcz_based,36.3075776802477,35.27212200360519,1.0354556766425063,387,141
2015,aqua_day,lcz_based,34.4081668139779,32.66653161813506,1.7416351958428393,374,141
2016,aqua_day,lcz_based,34.96195306955029,33.26959960984727,1.6923534597030212,377,140
2017,aqua_day,lcz_based,35.23894381282305,33.29279672072499,1.9461470920980588,396,141
2018,aqua_day,lcz_based,35.49516649599428,33.28715578795662,2.208010708037662,405,141
2019,aqua_day,lcz_based,35.62702789701946,33.18088816913549,2.446139727883967,386,141
2020,aqua_day,lcz_based,35.87829584173254,34.09182387469424,1.7864719670382954,370,141
2021,aqua_day,lcz_based,34.944400388803054,32.530582348146844,2.41381804065621,335,140
2022,aqua_day,lcz_based,36.047383663502146,33.37114947418613,2.6762341893160126,376,141
2023,aqua_day,lcz_based,35.35056946168956,33.0452943146632,2.3052751470263573,373,141
2024,aqua_day,lcz_based,35.74425239361685,33.57960838560699,2.1646440080098586,379,141
2025,aqua_day,lcz_based,33.639663814880684,31.120915833752207,2.5187479811284774,386,140
2000,aqua_night,buffer_ring,,,,0,0
2001,aqua_night,buffer_ring,,,,0,0
2002,aqua_night,buffer_ring,23.00134827108944,19.830085813999176,3.1712624570902648,34,32
2003,aqua_night,buffer_ring,23.232208420248593,20.58123242855072,2.650975991697873,34,32
2004,aqua_night,buffer_ring,23.14002581203685,20.998677909374237,2.1413479026626128,34,32
2005,aqua_night,buffer_ring,23.40173631555894,21.074883580207825,2.326852735351114,34,32
2006,aqua_night,buffer_ring,23.762531504911536,20.943575263023376,2.8189562418881593,34,32
2007,aqua_night,buffer_ring,24.042357444763184,21.279584109783173,2.762773334980011,34,32
2008,aqua_night,buffer_ring,23.23236925461713,20.648676812648773,2.5836924419683562,34,32
2009,aqua_night,buffer_ring,23.464184480554916,21.001708209514618,2.4624762710402983,34,32
2010,aqua_night,buffer_ring,23.398157624637378,20.568359196186066,2.829798428451312,34,32
2011,aqua_night,buffer_ring,22.5479232563692,20.753101646900177,1.7948216094690217,34,32
2012,aqua_night,buffer_ring,23.386802056256464,20.931215941905975,2.4555861143504885,34,32
2013,aqua_night,buffer_ring,23.017011137569654,19.938715040683746,3.078296096885907,34,32
2014,aqua_night,buffer_ring,23.02272263695212,21.092054963111877,1.9306676738402437,34,32
2015,aqua_night,buffer_ring,24.097353542552273,20.92392200231552,3.173431540236752,34,32
2016,aqua_night,buffer_ring,23.37262737049776,20.987191081047058,2.385436289450702,34,32
2017,aqua_night,buffer_ring,23.507307894089642,21.397111296653748,2.1101965974358947,34,32
2018,aqua_night,buffer_ring,23.55709176905015,19.745786249637604,3.811305519412546,34,32
2019,aqua_night,buffer_ring,23.937167560353,21.263097643852234,2.674069916500766,34,32
2020,aqua_night,buffer_ring,23.644188712624942,21.82717090845108,1.8170178041738616,34,32
2021,aqua_night,buffer_ring,23.246564191930435,19.853472888469696,3.3930913034607393,34,32
2022,aqua_night,buffer_ring,23.37262170455035,20.673170685768127,2.6994510187822236,34,32
2023,aqua_night,buffer_ring,23.40038221022662,21.62830662727356,1.772075582953061,34,32
2024,aqua_night,buffer_ring,23.815612400279324,22.179915606975555,1.6356967933037687,34,32
2025,aqua_night,buffer_ring,23.568537880392636,21.085127353668213,2.4834105267244233,34,32
2000,aqua_night,lcz_based,,,,0,0
2001,aqua_night,lcz_based,,,,0,0
2002,aqua_night,lcz_based,20.83211680006707,19.93400756660188,0.8981092334651883,435,142
2003,aqua_night,lcz_based,21.25908018090259,20.55638257915375,0.7026976017488415,435,142
2004,aqua_night,lcz_based,21.306724872808346,20.907320622810303,0.39940424999804236,435,142
2005,aqua_night,lcz_based,21.463258918674512,20.987516567682835,0.47574235099167694,435,142
2006,aqua_night,lcz_based,21.607913339549096,20.9092681317905,0.6986452077585952,435,142
2007,aqua_night,lcz_based,21.67486008830454,21.19955032542533,0.4753097628792098,435,142
2008,aqua_night,lcz_based,20.90270731257296,20.66267595187834,0.24003136069461917,435,142
2009,aqua_night,lcz_based,21.303352316494646,20.550030506804678,0.7533218096899681,435,142
2010,aqua_night,lcz_based,21.02281808085825,20.5564902105376,0.4663278703206508,435,142
