zone_id,gi_z_pooled,gi_z_single_sensor,class_pooled,class_single_sensor
LK1115135,-2.2259263907627607,-2.3286884142419804,cold_90,cold_95
LK1115140,-1.5621705691852485,-1.689752874381319,ns,ns
LK1115145,-1.6016378322728604,-1.6906384783080317,ns,ns
LK1115150,-2.739876886956511,-2.7863081000800065,cold_95,cold_95
LK1115155,-3.1123187197070457,-3.1617788193376666,cold_99,cold_99
LK1115160,-2.785144202769162,-2.8239441067328346,cold_95,cold_95
LK1115165,-4.208935326610818,-4.243082111085819,cold_99,cold_99
LK1115170,-4.521342173359063,-4.519390186392835,cold_99,cold_99
LK1115175,-3.9925212230121687,-4.022376766522877,cold_99,cold_99
LK1115180,-3.710163379846017,-3.748187675180848,cold_99,cold_99
LK1115185,-2.9038215981013944,-2.953955648227841,cold_95,cold_95
LK1115190,-2.4324563979474503,-2.4542530309798445,cold_90,cold_90
LK1115195,-1.8197656702316822,-1.8400600987921492,cold_90,cold_90
LK1115200,-2.0989696912707805,-2.137499456947635,cold_90,cold_90
LK1115205,-2.8101956701792807,-2.852594839973828,cold_95,cold_95
LK1115210,-3.0009318744713323,-3.0438628973746678,cold_95,cold_95
LK1115215,-2.944794091601733,-2.968377294928912,cold_95,cold_95
LK1115220,-2.725309488742377,-2.7442647350970004,cold_95,cold_95
LK1115225,-3.316130284301206,-3.337888103035115,cold_99,cold_99
LK1115230,-3.7606346973527907,-3.776690425941389,cold_99,cold_99
LK1115235,-4.944620674601506,-4.935356441618702,cold_99,cold_99
LK1115240,-5.214610212479761,-5.217358261924499,cold_99,cold_99
LK1115245,-3.564870856916194,-3.5965049019105595,cold_99,cold_99
LK1115250,-3.9575458046181446,-3.9836559119625927,cold_99,cold_99
LK1115255,-3.8162693220648465,-3.8536112633537183,cold_99,cold_99
LK1115260,-3.742946394980049,-3.7742832871610044,cold_99,cold_99
LK1115265,-3.7920622778283666,-3.8124577127033543,cold_99,cold_99
LK1115270,-2.7461064382046403,-2.7995169619687394,cold_95,cold_95
LK1115275,-2.2467548285151717,-2.3004235516073024,cold_95,cold_95
LK1115280,-2.380922552230639,-2.423079557643479,cold_95,cold_95
LK1115285,-2.757369289618625,-2.801835040257434,cold_95,cold_95
LK1115290,-3.2553799940249766,-3.269712841791501,cold_99,cold_99
LK1115295,-3.7976429602402617,-3.806573399019272,cold_99,cold_99
LK1115300,-3.9330415276388293,-3.961294364483572,cold_99,cold_99
LK1115305,-5.671433549160668,-5.653732046914345,cold_99,cold_99
LK1115310,-4.137548539203926,-4.13134797879873,cold_99,cold_99
LK1115315,-4.248378189499895,-4.232465353088494,cold_99,cold_99
LK1115320,-4.746933689418537,-4.75441280421023,cold_99,cold_99
LK1115325,-2.80678528359009,-2.8059050192203228,cold_95,cold_95
LK1115330,-2.818377246149101,-2.8443212448283997,cold_95,cold_95
LK1115335,-2.309183822742218,-2.3500224880295697,cold_95,cold_95
LK1115340,-3.1924193203710494,-3.1955152670791653,cold_99,cold_99
