zone_id,wetland_within_pct,adjacent_within_250m,adjacent_within_500m,adjacent_within_1000m,adjacent_queen,wetland_status,wetland_policy_flag,adjacency_disagreement,dw_flooded_vegetation_pct,worldcover_wetland_pct,gsw_seasonal_pct,wdpa_pct,wetland_sources
LK1130025,0.0,False,False,True,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1130030,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1130035,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1130040,0.0,False,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1130045,0.0,False,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1130050,0.0,True,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1130055,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1130060,0.0,True,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1130065,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1130070,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1130075,21.721783846085646,False,False,False,False,within,True,False,0.0,0.044330171114460505,1.1614504831988652,20.569199397109674,gsw_seasonal;wdpa
LK1131005,1.6684766511995262,False,False,False,False,within,True,False,0.0,0.0,1.6783492941060323,0.0,gsw_seasonal
LK1131010,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1131015,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1131020,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1131025,0.5689394612854476,True,True,True,True,adjacent,True,False,0.0,0.0,0.5689394612854476,0.0,
LK1131030,85.12893767385911,False,False,False,False,within,True,False,0.0,0.030072926847605444,0.0,85.1139012104353,wdpa
LK1131035,31.99719117561004,False,False,False,False,within,True,False,0.4154719410146878,0.690502662531453,0.10533091462344198,31.94452571829832,wdpa
LK1131040,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1131045,0.03313452617627568,True,True,True,True,adjacent,True,False,0.0,0.0,0.03313452617627568,0.0,
LK1131050,0.10505778177997899,True,True,True,True,adjacent,True,False,0.0,0.0,0.10505778177997899,0.0,
LK1131055,0.28924533263213253,False,False,True,False,neither,False,False,0.0,0.0,0.28924533263213253,0.0,
LK1131060,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1131065,32.23981063688143,False,False,False,False,within,True,False,0.5695687550854354,0.3920408314224425,0.795177158073822,31.77379983726607,wdpa
LK1133005,0.10238907849829351,True,True,True,True,adjacent,True,False,0.0,0.0,0.10238907849829351,0.0,
LK1133010,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1133015,0.0,True,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1133020,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1133025,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1133030,12.563406865636429,False,False,False,False,within,True,False,5.261295269552908,2.9491565412292085,4.447328064173647,12.563406865636429,dw_flooded_vegetation;worldcover_wetland;gsw_seasonal;wdpa
LK1133035,18.593704030597234,False,False,False,False,within,True,False,1.4906345003432382,2.1771109149749925,3.393154849465529,18.593704030597234,dw_flooded_vegetation;worldcover_wetland;gsw_seasonal;wdpa
LK1133040,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1133045,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1133050,2.8204064703442553,False,False,False,False,within,True,False,0.0,0.0,2.8204064703442553,0.0,gsw_seasonal
LK1133055,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1133060,4.15047411782994,False,False,False,False,within,True,False,0.0,0.7616974972796517,3.6374941706824186,0.0,gsw_seasonal
LK1133065,4.030075187969925,False,False,False,False,within,True,False,0.45112781954887216,0.09022556390977443,3.488721804511278,0.0,gsw_seasonal
LK1133070,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1133075,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1133080,0.6915857072287173,True,True,True,True,adjacent,True,False,0.0,0.06586530545035403,0.6421867281409518,0.0,
LK1133085,1.3513513513513513,False,False,False,False,within,True,False,0.0,0.0,1.3513513513513513,0.0,gsw_seasonal
LK1133090,13.459541984732825,False,False,False,False,within,True,False,1.6854961832061068,3.3465648854961834,4.360305343511451,13.386259541984733,dw_flooded_vegetation;worldcover_wetland;gsw_seasonal;wdpa
LK1133095,18.93312101910828,False,False,False,False,within,True,False,0.07961783439490445,4.856687898089172,4.3789808917197455,18.93312101910828,worldcover_wetland;gsw_seasonal;wdpa
LK1133100,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1133105,8.360025624599615,False,False,False,False,within,True,False,0.0,0.0,0.0,8.360025624599615,wdpa
LK1133110,2.0758768790264854,False,False,False,False,within,True,False,0.0,0.08947745168217609,1.9863994273443093,0.0,gsw_seasonal
LK1133115,41.90925353716052,False,False,False,False,within,True,False,0.0,0.3089933322491462,2.9760936737680925,42.02309318588388,gsw_seasonal;wdpa
LK1133120,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1133125,24.37395659432387,False,False,False,False,within,True,False,0.0,0.020868113522537562,3.1302170283806343,25.02086811352254,gsw_seasonal;wdpa
LK1133130,26.619459742984528,False,False,False,False,within,True,False,0.0,0.0,1.966955153422502,27.196433254655126,gsw_seasonal;wdpa
LK1133135,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1133140,30.676020408163264,False,False,False,False,within,True,False,0.0,0.3826530612244898,2.997448979591837,30.676020408163264,gsw_seasonal;wdpa
LK1133145,43.86915077989602,False,False,False,False,within,True,False,0.0,5.935875216637782,9.488734835355286,43.86915077989602,worldcover_wetland;gsw_seasonal;wdpa
LK1133150,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1133155,77.84394872312507,False,False,False,False,within,True,False,0.0,2.0995255879681034,4.077924699707277,78.5404259614414,worldcover_wetland;gsw_seasonal;wdpa
LK1133160,15.512216991705895,False,False,False,False,within,True,False,0.0,0.0,1.5243219009190765,16.072629455279085,gsw_seasonal;wdpa
LK1133165,0.13210039630118892,True,True,True,True,adjacent,True,False,0.0,0.0,0.13210039630118892,0.0,
LK1133170,0.3110419906687403,True,True,True,True,adjacent,True,False,0.0,0.0,0.41472265422498705,0.0,
LK1133175,40.97294484911551,False,False,False,False,within,True,False,0.0,0.026014568158168574,1.8470343392299688,40.97294484911551,gsw_seasonal;wdpa
LK1133180,23.572744014732965,False,False,False,False,within,True,False,0.0,0.0,2.5046040515653774,23.462246777163905,gsw_seasonal;wdpa
LK1133185,20.952982013253393,False,False,False,False,within,True,False,0.0,0.0,2.398232881035027,21.80498579993689,gsw_seasonal;wdpa
LK1133190,22.5395206527282,False,False,False,False,within,True,False,0.0,0.0,2.6517083120856704,23.30443651198368,gsw_seasonal;wdpa
LK1133195,26.2882096069869,False,False,False,False,within,True,False,0.0,0.0,1.5938864628820961,26.2882096069869,gsw_seasonal;wdpa
LK1133200,24.539631705364293,False,False,False,False,within,True,False,0.0,0.0,2.7822257806244997,25.360288230584466,gsw_seasonal;wdpa
LK1133205,28.125,False,False,False,False,within,True,False,0.0,0.0,1.6316371681415929,29.286504424778762,gsw_seasonal;wdpa
LK1133210,38.817682448339,False,False,False,False,within,True,False,0.0,0.026157467957101752,3.0865812189380066,39.288516871566834,gsw_seasonal;wdpa
LK1136005,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1136010,0.5586592178770949,True,True,True,True,adjacent,True,False,0.0,0.0,0.5586592178770949,0.0,
LK1136015,0.10604453870625663,True,True,True,True,adjacent,True,False,0.0,0.0,0.10604453870625663,0.0,
LK1136020,4.74128105767039,False,False,False,False,within,True,False,0.0,1.2309095053567358,3.89788010029633,0.0,worldcover_wetland;gsw_seasonal
LK1136025,12.001483954739381,False,False,False,False,within,True,False,0.0,0.0,0.0,12.001483954739381,wdpa
LK1136030,7.203751065643649,False,False,False,False,within,True,False,0.0,0.3836317135549872,0.11366865586814436,6.848536516055698,wdpa
LK1136035,10.048471290082029,False,False,False,False,within,True,False,1.5473527218493661,1.2117822520507084,8.538404175988068,0.0,dw_flooded_vegetation;worldcover_wetland;gsw_seasonal
LK1136040,0.015076134479119555,True,True,True,True,adjacent,True,False,0.0,0.015076134479119555,0.0,0.0,
LK1136045,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
