zone_id,value,gi_z,p_norm,p_sim,p_adjusted,significant,confidence_class
LK1112365,35.673871537104,-2.0095691452411373,0.04447680961099462,0.033,0.06807777777777778,False,cold_90
LK1112370,35.12108978853535,-1.8453547439238691,0.06498595185041343,0.063,0.11283279742765273,False,ns
LK1112375,35.80274597646307,-1.9182036786794636,0.05508518997132414,0.039,0.07758214285714285,False,cold_90
LK1112380,35.11355377503244,-2.093283954466595,0.03632381413209069,0.031,0.06418959107806692,False,cold_90
LK1112385,36.34004587736411,-2.0681791162779963,0.03862318327259305,0.017,0.0408146551724138,True,cold_95
LK1112390,34.785558895465606,-2.703227632240672,0.006866970097469658,0.002,0.009858407079646019,True,cold_99
LK1112395,34.133473944014405,-2.6455492611725795,0.008155841090259517,0.003,0.011767605633802818,True,cold_95
LK1112400,34.2955131552104,-2.390190097846042,0.01683965409644596,0.02,0.04680672268907563,True,cold_95
LK1112405,35.26763859079845,-2.4323928311102234,0.014999429570859294,0.005,0.016577380952380955,True,cold_95
LK1115005,33.56879483937526,-3.0384256890833274,0.0023781775016185665,0.003,0.011767605633802818,True,cold_95
LK1115010,34.098891352497425,-3.0019804528927887,0.002682293985249029,0.001,0.005925531914893618,True,cold_99
LK1115015,33.20971510175581,-3.2719863538542486,0.0010679473054053755,0.001,0.005925531914893618,True,cold_99
LK1115020,33.37843167549755,-3.2974993713448324,0.0009754989300645485,0.001,0.005925531914893618,True,cold_99
LK1115025,33.57298601841638,-3.0840331920425506,0.002042148103051622,0.001,0.005925531914893618,True,cold_99
LK1115030,34.01848821649674,-3.273387176045116,0.0010626680517584154,0.001,0.005925531914893618,True,cold_99
LK1115035,34.59327234047011,-1.640871117565853,0.10082417161721262,0.1,0.1551532033426184,False,ns
LK1115040,37.47437645128602,-1.198916154818759,0.2305605494567311,0.11,0.1687878787878788,False,ns
LK1115045,37.84033219810802,-1.30753045573927,0.19103261837527186,0.075,0.1269756838905775,False,ns
LK1115050,36.14975416122343,-1.5142375134146158,0.12996561043085603,0.075,0.1269756838905775,False,ns
LK1115055,36.492117600438334,-2.247266956914751,0.024622971290403133,0.008,0.02345263157894737,True,cold_95
LK1115060,35.56408027852415,-1.2414763760308958,0.2144298199552197,0.187,0.2529371980676328,False,ns
LK1115065,33.88357287468582,-3.8082773024336847,0.0001399382940812891,0.001,0.005925531914893618,True,cold_99
LK1115070,35.04173345543614,-2.525893273773408,0.011540453412442642,0.005,0.016577380952380955,True,cold_95
LK1115075,34.405202250338164,-3.521701723463235,0.0004287862996306099,0.001,0.005925531914893618,True,cold_99
LK1115080,34.68735530359283,-2.9579400939258833,0.003097023053714858,0.001,0.005925531914893618,True,cold_99
LK1115085,34.21784018538104,-3.0475704221226465,0.002306994630660744,0.001,0.005925531914893618,True,cold_99
LK1115090,33.715879884391995,-2.7400279071884954,0.006143396780448291,0.007,0.021075675675675677,True,cold_95
LK1115095,34.4973568390533,-3.1156338958044043,0.0018354999756040003,0.001,0.005925531914893618,True,cold_99
LK1115100,36.30148680308771,-3.303354822085438,0.0009553542240168567,0.001,0.005925531914893618,True,cold_99
LK1115105,34.381100072286344,-2.476890388629089,0.013253259701802652,0.013,0.03367906976744186,True,cold_95
LK1115110,36.61967325807583,-2.9138460534851083,0.003570059112238805,0.001,0.005925531914893618,True,cold_99
LK1115115,35.62791321290647,-2.0921913633737694,0.03642140077850927,0.024,0.05368674698795181,False,cold_90
LK1115120,35.419901466709966,-3.458362444782764,0.0005434697159056814,0.001,0.005925531914893618,True,cold_99
LK1115125,33.79664784322236,-2.7245278282305363,0.006439350352509993,0.005,0.016577380952380955,True,cold_95
LK1115130,34.05602951267783,-2.604978625190168,0.009187999170846391,0.006,0.018988636363636364,True,cold_95
LK1115135,36.09258662625311,-1.9610523499150063,0.04987291643725911,0.028,0.060216216216216215,False,cold_90
LK1115140,35.66653869938111,-1.3759071187005534,0.16885039100552246,0.139,0.2026780104712042,False,ns
LK1115145,35.30705832883673,-1.3612044640784986,0.17344908384034274,0.178,0.24420197044334976,False,ns
LK1115150,34.61541281860765,-2.3431126108024736,0.019123610107641277,0.017,0.0408146551724138,True,cold_95
LK1115155,36.90305000665381,-2.7422711087911664,0.006101595828556146,0.001,0.005925531914893618,True,cold_99
LK1115160,35.02484698009181,-2.2974362050703347,0.021593898406209434,0.016,0.039433628318584074,True,cold_95
LK1115165,34.3228654935112,-3.6310251641202,0.00028229765508125577,0.001,0.005925531914893618,True,cold_99
LK1115170,33.34737299128675,-4.032535702221089,5.517822890009421e-05,0.001,0.005925531914893618,True,cold_99
LK1115175,34.24262871052674,-3.660080827140851,0.0002521357028055318,0.001,0.005925531914893618,True,cold_99
LK1115180,34.32570306668079,-3.344883172373795,0.0008231723645708966,0.001,0.005925531914893618,True,cold_99
LK1115185,34.968069056257,-2.8322986479654753,0.0046214662322803775,0.003,0.011767605633802818,True,cold_95
LK1115190,34.22150311826076,-2.3627094149266674,0.018141888384863556,0.024,0.05368674698795181,False,cold_90
LK1115195,36.458275041456105,-1.390326869504432,0.1644296421855037,0.098,0.15290196078431373,False,ns
LK1115200,35.44465820983288,-1.6482338605006481,0.09930469096913835,0.073,0.12511076923076922,False,ns
LK1115205,36.19116500898735,-2.6248669629658377,0.008668282892006485,0.003,0.011767605633802818,True,cold_95
LK1115210,34.89162006224561,-2.8779255097741223,0.004002996497618419,0.003,0.011767605633802818,True,cold_95
LK1115215,34.35956124229323,-2.7520262266284408,0.005922777737629599,0.004,0.014374193548387098,True,cold_95
LK1115220,35.33375188512761,-2.574753248927368,0.010031162107181602,0.006,0.018988636363636364,True,cold_95
LK1115225,34.57637002303145,-2.9938107384712236,0.002755167924699637,0.001,0.005925531914893618,True,cold_99
LK1115230,34.440678652302424,-3.2450993882221324,0.00117409637322019,0.001,0.005925531914893618,True,cold_99
LK1115235,33.26594788823365,-4.378531491574441,1.194816781555654e-05,0.001,0.005925531914893618,True,cold_99
LK1115240,33.53727407947126,-4.640836319497873,3.470019106860685e-06,0.001,0.005925531914893618,True,cold_99
LK1115245,34.55674314120169,-3.186229774600445,0.0014414006990954291,0.001,0.005925531914893618,True,cold_99
LK1115250,34.52083737198494,-3.563244942967124,0.00036629859126978686,0.001,0.005925531914893618,True,cold_99
LK1115255,34.58524579596615,-3.346291437944673,0.0008190026548752817,0.001,0.005925531914893618,True,cold_99
LK1115260,34.69971641750573,-3.4372357078560247,0.0005876839398400231,0.001,0.005925531914893618,True,cold_99
LK1115265,34.62560348456346,-3.603470138332882,0.0003139968363300107,0.001,0.005925531914893618,True,cold_99
LK1115270,34.82936299158627,-2.5173702813764955,0.011823449828638678,0.007,0.021075675675675677,True,cold_95
LK1115275,36.033092808548815,-1.8091182385087399,0.07043263618055515,0.039,0.07758214285714285,False,cold_90
LK1115280,35.99237221399619,-1.846510964894418,0.06481804876978318,0.034,0.069625,False,cold_90
LK1115285,36.41630142497799,-2.297795472197884,0.021573432598048517,0.007,0.021075675675675677,True,cold_95
