zone_id,gi_star_hot_rank,lst_2020s_rank,ndvi_inverse_rank,score,rank,priority
LK1136180,0.5834829443447038,0.6265709156193896,0.651705565529623,0.614362657091562,219,False
LK1121160,0.5763016157989228,0.6463195691202872,0.5978456014362658,0.6086175942549372,220,False
LK1109140,0.585278276481149,0.651705565529623,0.5529622980251346,0.6053859964093358,221,False
LK1109160,0.6014362657091562,0.599640933572711,0.6211849192100538,0.6046678635547577,222,False
LK1133200,0.4919210053859964,0.6014362657091562,0.829443447037702,0.6032315978456015,223,False
LK1106175,0.6122082585278277,0.6175942549371634,0.533213644524237,0.5985637342908439,224,False
LK1106180,0.6355475763016158,0.5888689407540395,0.5278276481149012,0.5953321364452424,225,False
LK1121115,0.5870736086175943,0.6193895870736086,0.5601436265709157,0.5946140035906643,226,False
LK1121015,0.6858168761220825,0.5798922800718133,0.40394973070017953,0.5870736086175943,227,False
LK1124015,0.5691202872531418,0.5493716337522442,0.696588868940754,0.5867145421903052,228,False
LK1109185,0.644524236983842,0.5403949730700179,0.5565529622980251,0.585278276481149,229,False
LK1106145,0.5816876122082585,0.6086175942549371,0.5457809694793537,0.5852782764811489,230,False
LK1136240,0.5385996409335727,0.644524236983842,0.5547576301615799,0.5842010771992819,231,False
LK1133145,0.4883303411131059,0.63016157989228,0.6840215439856373,0.5842010771992818,232,False
LK1136230,0.6050269299820467,0.547576301615799,0.6014362657091562,0.5813285457809696,233,False
LK1133205,0.4631956912028725,0.5709156193895871,0.8330341113105925,0.5802513464991024,234,False
LK1109145,0.5960502692998204,0.5673249551166966,0.5673249551166966,0.5788150807899461,235,False
LK1133210,0.45960502692998206,0.5870736086175943,0.7899461400359067,0.5766606822262119,236,False
LK1136085,0.696588868940754,0.49371633752244165,0.4865350089766607,0.5734290843806105,237,False
LK1106015,0.5906642728904847,0.5080789946140036,0.6678635547576302,0.5730700179533214,238,False
LK1109135,0.5583482944344704,0.5619389587073609,0.6086175942549371,0.56983842010772,239,False
LK1106205,0.6068222621184919,0.5368043087971275,0.5439856373429084,0.5662477558348294,240,False
LK1121025,0.5170556552962298,0.6050269299820467,0.5798922800718133,0.5648114901256732,241,False
LK1136090,0.5565529622980251,0.5906642728904847,0.5134649910233393,0.5615798922800719,242,False
LK1109065,0.5601436265709157,0.5960502692998204,0.4955116696588869,0.5615798922800718,243,False
LK1136210,0.578096947935368,0.5421903052064632,0.5619389587073609,0.5605026929982047,244,False
LK1136050,0.473967684021544,0.6122082585278277,0.63016157989228,0.5605026929982047,245,False
LK1121145,0.5044883303411131,0.5942549371633752,0.599640933572711,0.5594254937163375,246,False
LK1106165,0.5709156193895871,0.5763016157989228,0.49730700179533216,0.5583482944344704,247,False
LK1136175,0.6211849192100538,0.5152603231597845,0.5080789946140036,0.5561938958707361,248,False
LK1112310,0.533213644524237,0.59245960502693,0.5170556552962298,0.5536804308797127,249,False
LK1136290,0.42908438061041293,0.6247755834829444,0.6588868940754039,0.5533213644524237,250,False
LK1121170,0.6175942549371634,0.5296229802513465,0.46858168761220825,0.5526032315978456,251,False
LK1136155,0.5116696588868941,0.5745062836624776,0.585278276481149,0.5515260323159785,252,False
LK1121135,0.547576301615799,0.5601436265709157,0.526032315978456,0.5482944344703771,253,False
LK1136125,0.5350089766606823,0.5385996409335727,0.5906642728904847,0.547576301615799,254,False
LK1136185,0.6229802513464991,0.5224416517055656,0.4362657091561939,0.5454219030520646,255,False
LK1136145,0.5403949730700179,0.5691202872531418,0.47217235188509876,0.5382405745062837,256,False
LK1121120,0.59245960502693,0.533213644524237,0.4380610412926391,0.5378815080789947,257,False
LK1121075,0.599640933572711,0.4955116696588869,0.49371633752244165,0.5368043087971275,258,False
LK1121020,0.5421903052064632,0.48473967684021546,0.6193895870736086,0.5346499102333933,259,False
LK1106150,0.5673249551166966,0.5134649910233393,0.5008976660682226,0.5324955116696589,260,False
LK1136285,0.518850987432675,0.5565529622980251,0.5116696588868941,0.5324955116696588,261,False
LK1136170,0.6642728904847397,0.4649910233393178,0.3877917414721723,0.5292639138240576,262,False
LK1109070,0.5062836624775583,0.5637342908438061,0.5026929982046678,0.5285457809694794,263,False
