zone_id,observed_lst_c,greened_lst_c,delta_c,rank,priority
LK1112025,34.7589940301154,34.7589940301154,-3.304849933767908e-17,434,False
LK1112030,35.17364926693987,35.17364926693987,0.0,432,False
LK1112035,35.31616229217498,35.31616229217498,2.460754063238442e-16,419,False
LK1112040,35.48320674509014,35.48320674509014,-1.5719972030090712e-16,412,False
LK1112045,35.13616386310038,35.13616386310038,3.675221047035001e-16,444,False
LK1112050,35.094525242032645,35.094525242032645,-1.0605115459105973e-16,421,False
LK1112055,35.22307969370045,35.22307969370045,0.0,430,False
LK1112060,35.88322907323022,35.88322907323022,-9.109522253334617e-17,388,False
LK1112065,35.11216440649453,35.11216440649453,1.3664283380001927e-16,409,False
LK1112070,36.200160280179745,36.200160280179745,1.8489959666619708e-16,391,False
LK1112075,34.91988569712904,34.91988569712905,-5.176139134676226e-16,431,False
LK1112080,34.45296927033611,34.45296927033611,0.0,471,False
LK1112085,34.905896395840934,34.905896395840934,2.220446049250313e-16,445,False
LK1112090,35.47108370374898,35.47108370374898,2.408619443254577e-16,416,False
LK1112095,36.1593344266957,36.1593344266957,1.1648241569837709e-16,365,False
LK1112100,36.023591991424325,36.023591991424325,1.7053025658242405e-16,389,False
LK1112105,36.536168026392346,36.536168026392346,-2.4622768070894563e-16,329,False
LK1112110,36.8767828016793,36.8767828016793,-1.1102230246251565e-16,348,False
LK1112115,35.56237659136026,35.56237659136026,-1.7763568394002506e-16,393,False
LK1112120,36.48915840610737,36.48915840610737,7.105427357601002e-16,359,False
LK1112125,36.56498862207157,36.56498862207157,-2.6712132923312036e-16,319,False
LK1112130,37.53832807167902,37.53832807167902,-1.5967252488991015e-16,281,False
LK1112135,36.94200164232213,36.94200164232213,2.9300731371550523e-16,325,False
LK1112140,36.8499705237682,36.8499705237682,1.0838787494645597e-15,351,False
LK1112145,36.776941259046644,36.77694125904665,-8.359326303060002e-17,340,False
LK1112150,36.3141313729997,36.3141313729997,-1.450087215836939e-16,373,False
LK1112155,36.2034430296516,36.2034430296516,0.0,385,False
LK1112160,35.64197268877227,35.64197268877227,4.306319610667274e-16,418,False
LK1112165,34.89673001077528,34.89673001077528,1.1842378929335003e-16,477,False
LK1112170,35.01962587655484,35.01962587655484,4.800964430811488e-16,468,False
LK1112175,34.97297151646193,34.97297151646193,3.036507417778206e-16,437,False
LK1112180,35.29370743838386,35.29370743838386,-3.1680249365100006e-16,436,False
LK1112185,34.68489850235531,34.68489850235531,1.882232412609537e-16,420,False
LK1112190,36.47992788350553,36.47992788350553,-4.014365738757628e-16,346,False
LK1112195,37.814245840471585,37.814245840471585,-3.552713678800501e-16,264,False
LK1112200,36.205182634124355,36.205182634124355,4.083578941150001e-16,353,False
LK1112205,37.371628124110416,37.371628124110416,4.440892098500626e-16,332,False
LK1112210,36.97886901196327,36.97886901196327,0.0,342,False
